Filename,Style,Genre,Date,Predictions,Real Values
7052.jpg,Surrealism,symbolic painting,1946.0,Edgar Degas,Jock Macdonald
11609.jpg,Realism,landscape,c.1885,Boris Kustodiev,Isaac Levitan
98476.jpg,Romanticism,landscape,1863,Camille Corot,Ivan Aivazovsky
89127.jpg,Expressionism,cityscape,1934,Camille Pissarro,Zinaida Serebriakova
100004.jpg,Impressionism,nude painting (nu),1907.0,Camille Corot,Stefan Luchian
56576.jpg,Romanticism,sketch and study,,Edgar Degas,Edward Burne-Jones
58159.jpg,Realism,landscape,1889.0,Vincent van Gogh,Ivan Shishkin
78901.jpg,Realism,sketch and study,1877.0,Gustave Dore,Ivan Shishkin
94075.jpg,Romanticism,literary painting,1899.0,Pyotr Konchalovsky,Viktor Vasnetsov
9501.jpg,Academicism,portrait,,Edgar Degas,Frederic Leighton
97591.jpg,Impressionism,cityscape,1883,Camille Pissarro,Alfred Sisley
102594.jpg,Impressionism,flower painting,1884,Vincent van Gogh,Gustave Caillebotte
45182.jpg,Ukiyo-e,genre painting,1898.0,Camille Pissarro,Toyohara Chikanobu
92418.jpg,Ink and wash painting,landscape,1956.0,Gustave Dore,Fu Baoshi
76927.jpg,Ukiyo-e,genre painting,1895.0,Theophile Steinlen,Toyohara Chikanobu
58297.jpg,Baroque,religious painting,1643,Camille Corot,Alonzo Cano
85234.jpg,Naïve Art (Primitivism),symbolic painting,1918,Pyotr Konchalovsky,Marc Chagall
46172.jpg,Impressionism,portrait,1930,Camille Pissarro,Nikolay Bogdanov-Belsky
65002.jpg,Northern Renaissance,religious painting,1511,Gustave Dore,Hans Baldung
40677.jpg,Northern Renaissance,portrait,1450,Boris Kustodiev,Rogier van der Weyden
82345.jpg,Northern Renaissance,portrait,1503,Pyotr Konchalovsky,Lucas Cranach the Elder
5313.jpg,Romanticism,illustration,,Theophile Steinlen,William Morris
99614.jpg,Romanticism,landscape,,Eugene Boudin,Ivan Aivazovsky
27309.jpg,Realism,landscape,,Camille Pissarro,Aleksey Savrasov
72514.jpg,Art Nouveau (Modern),genre painting,1906.0,Edgar Degas,Valentin Serov
100524.jpg,Baroque,religious painting,1672,Edgar Degas,Juan de Valdes Leal
14643.jpg,Realism,literary painting,1868.0,Boris Kustodiev,Ilya Repin
78781.jpg,Northern Renaissance,religious painting,,Camille Corot,Robert Campin
53617.jpg,Realism,landscape,,Vincent van Gogh,Boris Kustodiev
100762.jpg,Luminism,landscape,1872,Eugene Boudin,Albert Bierstadt
43693.jpg,Realism,sketch and study,1897.0,Gustave Dore,Ivan Shishkin
91400.jpg,Impressionism,cityscape,,Boris Kustodiev,Gustave Caillebotte
12728.jpg,Realism,landscape,1868.0,Vincent van Gogh,Ivan Shishkin
31646.jpg,Realism,landscape,c.1865,Vincent van Gogh,Vasily Polenov
81116.jpg,Romanticism,sketch and study,1830,Boris Kustodiev,Karl Bryullov
95030.jpg,Art Nouveau (Modern),illustration,1920.0,Theophile Steinlen,Dorothy Lathrop
71096.jpg,Impressionism,portrait,,Pierre-Auguste Renoir,Federico Zandomeneghi
29076.jpg,Realism,literary painting,1873,Pyotr Konchalovsky,Edouard Manet
33914.jpg,Hyper-Realism,portrait,1965,Camille Corot,Claudio Bravo
48430.jpg,Surrealism,symbolic painting,,Edgar Degas,Zdislav Beksinski
7579.jpg,Tenebrism,religious painting,1654.0,Edgar Degas,Mario Nuzzi
10540.jpg,Impressionism,portrait,1892,Camille Pissarro,Berthe Morisot
46739.jpg,Expressionism,animal painting,1911,Edgar Degas,Franz Marc
92460.jpg,Academicism,religious painting,c.1855,Edgar Degas,Alexander Ivanov
88891.jpg,Romanticism,genre painting,1900.0,Camille Pissarro,Edwin Austin Abbey
43554.jpg,Art Nouveau (Modern),genre painting,1904,Theophile Steinlen,Carl Larsson
67383.jpg,Impressionism,landscape,1905,Camille Pissarro,T. C. Steele
101846.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
75524.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
44490.jpg,Impressionism,landscape,1888,Camille Pissarro,Willard Metcalf
76910.jpg,Surrealism,symbolic painting,1929,Pyotr Konchalovsky,Salvador Dali
57043.jpg,Realism,wildlife painting,,Edgar Degas,Vasily Vereshchagin
103174.jpg,Art Nouveau (Modern),illustration,1896.0,Theophile Steinlen,Otto Eckmann
80012.jpg,Realism,landscape,1864.0,Camille Pissarro,Ivan Shishkin
87127.jpg,Romanticism,landscape,1865,Camille Corot,Ivan Aivazovsky
101708.jpg,Romanticism,sketch and study,1825.0,Edgar Degas,Thomas Sully
48886.jpg,Romanticism,portrait,1803.0,Camille Corot,Thomas Lawrence
55259.jpg,Rococo,portrait,,Edgar Degas,George Romney
52364.jpg,Rococo,portrait,,Camille Corot,Thomas Lawrence
2135.jpg,Realism,portrait,,Pyotr Konchalovsky,James Charles
544.jpg,Realism,landscape,1873.0,Camille Corot,Ivan Shishkin
85701.jpg,Impressionism,portrait,1884,Vincent van Gogh,Paul Gauguin
26227.jpg,Luminism,wildlife painting,,Camille Corot,Albert Bierstadt
17939.jpg,Divisionism,sketch and study,,Vincent van Gogh,Umberto Boccioni
13500.jpg,Impressionism,portrait,c.1904,Edgar Degas,Mary Cassatt
66942.jpg,Baroque,genre painting,1668,Eugene Boudin,Adriaen van de Velde
97746.jpg,Art Nouveau (Modern),design,1917.0,Boris Kustodiev,Leon Bakst
11062.jpg,Northern Renaissance,religious painting,,Theophile Steinlen,Hugo van der Goes
34981.jpg,Realism,genre painting,,Camille Pissarro,Vladimir Makovsky
41046.jpg,Realism,self-portrait,c.1884,Edgar Degas,Vasily Surikov
48391.jpg,Baroque,veduta,1770,Camille Corot,Francesco Guardi
96248.jpg,Symbolism,religious painting,1904.0,Vincent van Gogh,Viktor Vasnetsov
74007.jpg,Realism,portrait,1899.0,Boris Kustodiev,Ilya Repin
35456.jpg,Romanticism,portrait,1805.0,Camille Corot,Thomas Lawrence
44100.jpg,Impressionism,genre painting,1870,Edgar Degas,James McNeill Whistler
27667.jpg,Impressionism,genre painting,1907,Eugene Boudin,Max Liebermann
85555.jpg,Realism,genre painting,1850,Eugene Boudin,Adolph Menzel
26535.jpg,Impressionism,landscape,,Camille Pissarro,T. C. Steele
16577.jpg,Impressionism,landscape,,Vincent van Gogh,Piet Mondrian
25832.jpg,Symbolism,design,1901,Boris Kustodiev,Konstantin Somov
19355.jpg,Magic Realism,genre painting,1941,Gustave Dore,Eric Ravilious
14792.jpg,Northern Renaissance,religious painting,,Pyotr Konchalovsky,Hieronymus Bosch
24196.jpg,Impressionism,landscape,1904,Vincent van Gogh,Childe Hassam
66466.jpg,Baroque,battle painting,,Eugene Boudin,David Teniers the Younger
3973.jpg,Symbolism,allegorical painting,1898,Theophile Steinlen,Nikolaos Gyzis
80702.jpg,Realism,portrait,1873,Camille Corot,Vasily Vereshchagin
75786.jpg,Mannerism (Late Renaissance),mythological painting,c.1539,Camille Corot,Parmigianino
21495.jpg,Art Nouveau (Modern),genre painting,1894,Gustave Dore,Aubrey Beardsley
99319.jpg,Impressionism,flower painting,1912,Pyotr Konchalovsky,Konstantin Korovin
57993.jpg,Realism,portrait,1882,Vincent van Gogh,Vasily Polenov
5665.jpg,Impressionism,religious painting,1901,Camille Corot,Arkhip Kuindzhi
57099.jpg,Surrealism,landscape,1966,Edgar Degas,Sidney Nolan
23168.jpg,Naïve Art (Primitivism),marina,,Boris Kustodiev,Alfred Wallis
78019.jpg,Post-Impressionism,cityscape,1919.0,Boris Kustodiev,Samuel Peploe
101311.jpg,Rococo,portrait,,Camille Corot,John Jackson
41886.jpg,Expressionism,portrait,1973.0,Pyotr Konchalovsky,John Bratby
8714.jpg,Post-Impressionism,landscape,c.1919,Vincent van Gogh,Henri Matisse
47825.jpg,Art Nouveau (Modern),portrait,1898,Theophile Steinlen,Felix Vallotton 
9456.jpg,Neoclassicism,sketch and study,1785,Vincent van Gogh,Jacques-Louis David
1768.jpg,Impressionism,landscape,1900,Eugene Boudin,Isaac Levitan
10898.jpg,Realism,sketch and study,,Gustave Dore,Thomas Eakins
6532.jpg,Art Nouveau (Modern),self-portrait,1912,Theophile Steinlen,Carl Larsson
74402.jpg,Kitsch,genre painting,,Vincent van Gogh,Francis Picabia
67797.jpg,Luminism,landscape,1881.0,Vincent van Gogh,David Johnson
42245.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
75964.jpg,Impressionism,genre painting,1918,Boris Kustodiev,Childe Hassam
59640.jpg,Realism,portrait,1908,Edgar Degas,Giovanni Boldini
44411.jpg,Impressionism,landscape,,Camille Pissarro,George Henry
14868.jpg,Romanticism,marina,,Theophile Steinlen,Ivan Aivazovsky
85663.jpg,Post-Impressionism,portrait,1930.0,Vincent van Gogh,Stefan Dimitrescu
98762.jpg,Baroque,illustration,1625,Gustave Dore,Adriaen van de Venne
97915.jpg,Realism,landscape,c.1870,Camille Pissarro,Aleksey Savrasov
9309.jpg,Realism,landscape,1874,Eugene Boudin,Aleksey Savrasov
98690.jpg,Art Nouveau (Modern),design,1920,Boris Kustodiev,Nicholas Roerich
46601.jpg,Social Realism,genre painting,1954.0,Pyotr Konchalovsky,John Bratby
42866.jpg,,,,Edgar Degas,Thomas Jones Barker
74548.jpg,Expressionism,portrait,1923,Pierre-Auguste Renoir,Zinaida Serebriakova
47046.jpg,Romanticism,portrait,,Pierre-Auguste Renoir,Thomas Lawrence
55544.jpg,Symbolism,mythological painting,,Vincent van Gogh,Kimon Loghi
11719.jpg,Realism,flower painting,1883,Vincent van Gogh,Henri Fantin-Latour
20295.jpg,Academicism,sketch and study,,Vincent van Gogh,Alexander Ivanov
34731.jpg,Naïve Art (Primitivism),sketch and study,1927.0,Theophile Steinlen,Christopher Wood
65328.jpg,Ottoman Period,calligraphy,,Boris Kustodiev,Mustafa Rakim
59070.jpg,Post-Impressionism,landscape,1888,Camille Pissarro,Paul Gauguin
75976.jpg,Impressionism,nude painting (nu),,Edgar Degas,Henry Herbert La Thangue
20685.jpg,Expressionism,still life,1957,Theophile Steinlen,William Scott
65475.jpg,Rococo,portrait,,Camille Corot,John Jackson
8057.jpg,Romanticism,portrait,1818.0,Pierre-Auguste Renoir,Thomas Lawrence
76932.jpg,Rococo,portrait,1805.0,Camille Corot,John Jackson
27540.jpg,Post-Impressionism,cityscape,,Vincent van Gogh,Maurice Utrillo
18084.jpg,Romanticism,portrait,1894.0,Boris Kustodiev,Viktor Vasnetsov
66355.jpg,Fauvism,portrait,1918,Pyotr Konchalovsky,Ilya Mashkov
33096.jpg,Post-Impressionism,portrait,1907,Edgar Degas,Kuzma Petrov-Vodkin
38102.jpg,Intimism,portrait,1898,Edgar Degas,Edouard Vuillard
58731.jpg,Ukiyo-e,mythological painting,1790.0,Theophile Steinlen,Ito Jakuchu
102342.jpg,Baroque,religious painting,,Camille Corot,Giuseppe Maria Crespi
30160.jpg,Realism,landscape,,Camille Corot,Arkhip Kuindzhi
26873.jpg,Art Nouveau (Modern),genre painting,1916.0,Boris Kustodiev,Boris Kustodiev
5747.jpg,Art Nouveau (Modern),portrait,1921,Camille Corot,Zinaida Serebriakova
86897.jpg,Realism,genre painting,1910.0,Vincent van Gogh,Valentin Serov
21519.jpg,Realism,landscape,1850,Camille Pissarro,Aleksey Savrasov
33067.jpg,Realism,flower painting,1947,Camille Corot,Salvador Dali
60410.jpg,Northern Renaissance,religious painting,1437,Vincent van Gogh,Jan van Eyck
60333.jpg,Academicism,mythological painting,,Edgar Degas,Alexandre Cabanel
5141.jpg,Realism,genre painting,1898.0,Camille Corot,Jose Ferraz de Almeida Junior
52026.jpg,Romanticism,genre painting,1903.0,Camille Corot,David Roberts
57399.jpg,Realism,still life,1918,Edgar Degas,Salvador Dali
51428.jpg,Rococo,history painting,1745.0,Camille Corot,George Lambert
14328.jpg,Romanticism,landscape,,Camille Corot,Ivan Aivazovsky
40269.jpg,Romanticism,landscape,,Gustave Dore,Pavel Svinyin
78498.jpg,Expressionism,sketch and study,1914,Theophile Steinlen,Egon Schiele
91190.jpg,Realism,landscape,,Camille Corot,Camille Corot
99289.jpg,Realism,cityscape,1869,Camille Pissarro,Vasily Vereshchagin
71430.jpg,Romanticism,marina,1855,Eugene Boudin,Ivan Aivazovsky
23726.jpg,Baroque,genre painting,1633,Edgar Degas,Rembrandt
7278.jpg,Symbolism,landscape,1893,Vincent van Gogh,Konstantin Somov
17855.jpg,Realism,landscape,1869.0,Camille Pissarro,Fyodor Vasilyev
41166.jpg,Realism,portrait,1921.0,Boris Kustodiev,Boris Kustodiev
36515.jpg,Impressionism,landscape,1929.0,Camille Pissarro,Jean Alexandru Steriadi
77788.jpg,Realism,portrait,1880.0,Boris Kustodiev,Ilya Repin
4891.jpg,Romanticism,genre painting,,Boris Kustodiev,Konstantin Makovsky
46354.jpg,Realism,landscape,1897,Vincent van Gogh,Isaac Levitan
48128.jpg,Orphism,abstract,,Boris Kustodiev,Albert Gleizes
69562.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
71569.jpg,Romanticism,genre painting,1779,Edgar Degas,Francisco Goya
28543.jpg,Luminism,marina,c.1860,Eugene Boudin,Albert Bierstadt
23135.jpg,Romanticism,literary painting,,Vincent van Gogh,Dante Gabriel Rossetti
5291.jpg,Symbolism,nude painting (nu),1901,Edgar Degas,Builder of Temples
96946.jpg,Tonalism,cityscape,1884,Vincent van Gogh,James McNeill Whistler
3645.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
13098.jpg,Rococo,portrait,1778.0,Camille Corot,George Romney
36193.jpg,Romanticism,portrait,1858,Camille Corot,Ivan Aivazovsky
9130.jpg,Impressionism,landscape,c.1920,Vincent van Gogh,Ilya Mashkov
12388.jpg,Realism,sketch and study,,Theophile Steinlen,Theodor Severin Kittelsen
21513.jpg,Naïve Art (Primitivism),cityscape,1991.0,Boris Kustodiev,Joaquim Rodrigo
48262.jpg,Realism,landscape,1894.0,Camille Pissarro,Ivan Shishkin
76298.jpg,Academicism,genre painting,1858,Boris Kustodiev,Fyodor Bronnikov
54536.jpg,Realism,landscape,,Boris Kustodiev,Isaac Levitan
86349.jpg,Social Realism,genre painting,1946,Vincent van Gogh,Edward Hopper
80866.jpg,Romanticism,landscape,1899,Eugene Boudin,Lev Lagorio
58365.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
63956.jpg,Impressionism,landscape,1883.0,Pierre-Auguste Renoir,Mihaly Munkacsy
61637.jpg,Romanticism,portrait,,Theophile Steinlen,Caspar David Friedrich
92969.jpg,Expressionism,genre painting,1914,Boris Kustodiev,Marc Chagall
52668.jpg,Realism,landscape,,Camille Corot,Anton Mauve
11680.jpg,Ukiyo-e,battle painting,,Vincent van Gogh,Utagawa Kuniyoshi
47152.jpg,Naïve Art (Primitivism),marina,,Boris Kustodiev,Alfred Wallis
83508.jpg,Pointillism,portrait,1889,Vincent van Gogh,Theo van Rysselberghe
31282.jpg,Post-Impressionism,genre painting,1973.0,Theophile Steinlen,Constantin Piliuta
49343.jpg,Realism,genre painting,1876,Vincent van Gogh,Konstantin Makovsky
59383.jpg,Realism,portrait,c.1880,Vincent van Gogh,Konstantin Makovsky
41990.jpg,Art Nouveau (Modern),design,1912,Pyotr Konchalovsky,Konstantin Korovin
31094.jpg,Realism,landscape,1869,Camille Pissarro,Aleksey Savrasov
3500.jpg,Realism,sketch and study,1882.0,Boris Kustodiev,Ilya Repin
34051.jpg,Realism,landscape,,Camille Pissarro,Ivan Shishkin
54268.jpg,Realism,landscape,1887,Boris Kustodiev,Isaac Levitan
7549.jpg,Post-Impressionism,still life,1965.0,Edgar Degas,Henri Catargi
10198.jpg,Surrealism,symbolic painting,,Edgar Degas,Remedios Varo
81721.jpg,Post-Impressionism,genre painting,,Boris Kustodiev,Louis Comfort Tiffany
102287.jpg,Baroque,portrait,,Theophile Steinlen,Juan Carreno de Miranda
64229.jpg,Naturalism,illustration,,Theophile Steinlen,John James Audubon
46341.jpg,Rococo,genre painting,1791.0,Boris Kustodiev,Luis Paret y Alcazar
11488.jpg,Rococo,portrait,,Boris Kustodiev,George Romney
39565.jpg,Rococo,allegorical painting,,Edgar Degas,George Romney
30841.jpg,Symbolism,sketch and study,1882,Theophile Steinlen,Odilon Redon
41481.jpg,Fauvism,still life,1929,Vincent van Gogh,Pyotr Konchalovsky
94012.jpg,Realism,portrait,1911.0,Boris Kustodiev,Boris Kustodiev
50633.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
20939.jpg,Realism,landscape,1887,Eugene Boudin,Isaac Levitan
95419.jpg,Realism,landscape,1901,Camille Pissarro,Arkhip Kuindzhi
25936.jpg,Impressionism,landscape,1878,Camille Pissarro,Alfred Sisley
96560.jpg,Rococo,portrait,c.1775,Edgar Degas,Dmitry Levitzky
36801.jpg,Romanticism,nude painting (nu),1801,Gustave Dore,Orest Kiprensky
71676.jpg,Realism,portrait,1878,Edgar Degas,Mary Cassatt
72003.jpg,Realism,landscape,1898.0,Camille Pissarro,Jose Maria Velasco
87801.jpg,Romanticism,landscape,1857.0,Camille Pissarro,Frederic Edwin Church
100872.jpg,Romanticism,portrait,1907,Edgar Degas,John William Waterhouse
73353.jpg,Rococo,portrait,1826.0,Camille Corot,John Jackson
84792.jpg,Post-Impressionism,landscape,1910.0,Boris Kustodiev,Samuel Peploe
100343.jpg,Romanticism,genre painting,1815.0,Eugene Boudin,William Collins
51969.jpg,Neoclassicism,portrait,1842,Camille Corot,Franz Xaver Winterhalter
73370.jpg,Impressionism,landscape,1866,Eugene Boudin,Berthe Morisot
9676.jpg,Impressionism,nude painting (nu),c.1898,Edgar Degas,James McNeill Whistler
36987.jpg,Expressionism,self-portrait,1910,Vincent van Gogh,Egon Schiele
10706.jpg,Realism,landscape,1865.0,Vincent van Gogh,Ivan Shishkin
55022.jpg,Realism,sketch and study,,Pyotr Konchalovsky,Viktor Vasnetsov
82199.jpg,Northern Renaissance,sketch and study,c.1511,Vincent van Gogh,Matthias Grünewald
50289.jpg,Realism,landscape,,Camille Corot,Camille Corot
84254.jpg,Realism,landscape,1878.0,Gustave Dore,Ivan Shishkin
30070.jpg,Realism,portrait,1887.0,Boris Kustodiev,Ilya Repin
37793.jpg,Surrealism,figurative,,Pyotr Konchalovsky,Jules Perahim
32445.jpg,Art Nouveau (Modern),illustration,1918,Boris Kustodiev,Nicholas Roerich
88687.jpg,Realism,flower painting,1952,Vincent van Gogh,Pyotr Konchalovsky
80081.jpg,Realism,cityscape,1891,Camille Corot,John Singer Sargent
22088.jpg,Realism,sketch and study,,Theophile Steinlen,Theodor Severin Kittelsen
85731.jpg,Rococo,portrait,1781.0,Camille Corot,George Romney
802.jpg,Post-Impressionism,genre painting,1910.0,Eugene Boudin,Samuel Peploe
43589.jpg,Baroque,genre painting,c.1670,Camille Pissarro,Jan Siberechts
42828.jpg,Op Art,,1985.0,Vincent van Gogh,Eduardo Nery
14614.jpg,Naïve Art (Primitivism),illustration,c.1923,Edgar Degas,Marc Chagall
84780.jpg,Realism,cityscape,,Eugene Boudin,Charles-Francois Daubigny
45772.jpg,Ukiyo-e,portrait,1950.0,Theophile Steinlen,Paul Jacoulet
61680.jpg,Rococo,portrait,,Camille Corot,Allan Ramsay
44317.jpg,High Renaissance,sketch and study,,Vincent van Gogh,Raphael
54189.jpg,Romanticism,illustration,,Gustave Dore,Gustave Dore
97917.jpg,Romanticism,marina,1861,Camille Corot,Ivan Aivazovsky
14889.jpg,Realism,sketch and study,1872,Boris Kustodiev,Vasily Polenov
11580.jpg,Northern Renaissance,religious painting,1480,Gustave Dore,Martin Schongauer
38837.jpg,Post-Impressionism,still life,,Theophile Steinlen,Ion Pacea
22882.jpg,Impressionism,genre painting,1905.0,Camille Pissarro,Valentin Serov
100198.jpg,Neoclassicism,religious painting,1790,Pierre-Auguste Renoir,Benjamin West
83874.jpg,Realism,portrait,1919.0,Boris Kustodiev,Boris Kustodiev
78879.jpg,Japonism,genre painting,,Theophile Steinlen,Nicolae Tonitza
13680.jpg,Metaphysical art,cityscape,1914,Vincent van Gogh,Giorgio de Chirico
70853.jpg,Romanticism,genre painting,1912,Camille Pissarro,John William Waterhouse
70148.jpg,High Renaissance,religious painting,1508,Edgar Degas,Lorenzo Lotto
73390.jpg,Early Renaissance,religious painting,1476,Edgar Degas,Antonello da Messina
93590.jpg,Romanticism,landscape,1833,Vincent van Gogh,Ferdinand Georg Waldmüller
67905.jpg,Impressionism,marina,c.1890,Eugene Boudin,Eugene Boudin
64363.jpg,Northern Renaissance,religious painting,,Edgar Degas,Lucas Cranach the Elder
61833.jpg,Northern Renaissance,portrait,1543,Vincent van Gogh,Lucas Cranach the Elder
44346.jpg,Post-Impressionism,still life,1938,Pyotr Konchalovsky,Ilya Mashkov
3899.jpg,Rococo,capriccio,1755,Boris Kustodiev,Canaletto
96500.jpg,Mannerism (Late Renaissance),illustration,1599.0,Boris Kustodiev,Francisco Pacheco
66426.jpg,Lyrical Abstraction,abstract,1971.0,Theophile Steinlen,Friedel Dzubas
69453.jpg,Pointillism,cityscape,,Camille Pissarro,Henri Martin
65486.jpg,Post-Impressionism,landscape,1915.0,Vincent van Gogh,Tom Thomson
37041.jpg,Ukiyo-e,battle painting,,Vincent van Gogh,Katsushika Hokusai
21241.jpg,Post-Impressionism,animal painting,1888,Edgar Degas,Henri de Toulouse-Lautrec
58172.jpg,Romanticism,landscape,1873,Vincent van Gogh,Ivan Aivazovsky
16934.jpg,Realism,sketch and study,,Boris Kustodiev,Ivan Shishkin
5436.jpg,Art Nouveau (Modern),still life,,Boris Kustodiev,Boris Kustodiev
61516.jpg,Romanticism,genre painting,,Boris Kustodiev,Konstantin Makovsky
72838.jpg,Impressionism,landscape,,Pierre-Auguste Renoir,Frits Thaulow
80537.jpg,Symbolism,landscape,1897,Vincent van Gogh,Konstantin Somov
74074.jpg,Orientalism,genre painting,,Edgar Degas,Edwin Lord Weeks
19870.jpg,Expressionism,self-portrait,1914,Vincent van Gogh,Oskar Kokoschka
56346.jpg,Romanticism,religious painting,1825,Edgar Degas,John Martin
60722.jpg,Socialist Realism,genre painting,1962,Boris Kustodiev,Aleksandr Deyneka
65808.jpg,Art Nouveau (Modern),genre painting,1893,Edgar Degas,Henri de Toulouse-Lautrec
59803.jpg,Post-Impressionism,landscape,1907,Camille Pissarro,Gustave Loiseau
53823.jpg,New Realism,cityscape,1912,Boris Kustodiev,John French Sloan
45278.jpg,Expressionism,portrait,c.1919,Pyotr Konchalovsky,Chaim Soutine
30722.jpg,Northern Renaissance,religious painting,1483,Vincent van Gogh,Martin Schongauer
40297.jpg,Realism,landscape,,Camille Corot,Camille Corot
82082.jpg,Romanticism,religious painting,1864,Edgar Degas,Nikolai Ge
521.jpg,Realism,portrait,1887.0,Boris Kustodiev,Ilya Repin
94368.jpg,Realism,landscape,1894.0,Vincent van Gogh,Ivan Shishkin
83288.jpg,Art Nouveau (Modern),landscape,1905,Vincent van Gogh,Konstantin Somov
2726.jpg,Romanticism,marina,1874,Camille Corot,Ivan Aivazovsky
53346.jpg,Realism,landscape,1892,Vincent van Gogh,Isaac Levitan
90239.jpg,Realism,landscape,,Camille Pissarro,Ivan Shishkin
64126.jpg,Romanticism,sketch and study,1881.0,Camille Corot,Viktor Vasnetsov
51044.jpg,Baroque,cityscape,,Vincent van Gogh,Canaletto
28540.jpg,Orientalism,portrait,1937.0,Theophile Steinlen,Nicolae Tonitza
65647.jpg,Impressionism,genre painting,c.1915,Pierre-Auguste Renoir,William James Glackens
2222.jpg,Realism,genre painting,1900.0,Boris Kustodiev,Thomas Pollock Anshutz
45408.jpg,Romanticism,marina,1846,Edgar Degas,Ivan Aivazovsky
96316.jpg,Rococo,genre painting,1790.0,Edgar Degas,George Morland
87974.jpg,Realism,still life,1884,Vincent van Gogh,Ivan Kramskoy
68513.jpg,Luminism,landscape,,Edgar Degas,Albert Bierstadt
19072.jpg,Realism,landscape,1868.0,Camille Corot,Jose Maria Velasco
90479.jpg,Rococo,landscape,1794.0,Camille Corot,Hubert Robert
95797.jpg,Impressionism,cityscape,1917,Vincent van Gogh,Childe Hassam
3638.jpg,Realism,landscape,1870.0,Camille Pissarro,Ivan Shishkin
9384.jpg,Impressionism,portrait,,Camille Corot,Joaquín Sorolla
84051.jpg,Realism,sketch and study,,Boris Kustodiev,Arkhip Kuindzhi
5471.jpg,Symbolism,illustration,1918,Vincent van Gogh,Konstantin Somov
36165.jpg,Post-Impressionism,marina,,Pyotr Konchalovsky,Ion Pacea
30380.jpg,Impressionism,genre painting,1930.0,Edgar Degas,Ipolit Strambu
88629.jpg,Luminism,landscape,c.1857,Eugene Boudin,Albert Bierstadt
68907.jpg,Realism,cityscape,1847,Eugene Boudin,Vasily Sadovnikov
88153.jpg,Realism,landscape,1884.0,Gustave Dore,Ivan Shishkin
54400.jpg,Baroque,genre painting,,Camille Corot,Jan Steen
36831.jpg,Realism,landscape,c.1865,Eugene Boudin,Camille Corot
39215.jpg,Romanticism,animal painting,,Camille Pissarro,William Collins
16072.jpg,Rococo,portrait,1821.0,Camille Corot,John Jackson
30694.jpg,Expressionism,nude painting (nu),1917,Boris Kustodiev,Egon Schiele
54023.jpg,Ukiyo-e,genre painting,,Pyotr Konchalovsky,Utagawa Kuniyoshi
1100.jpg,Impressionism,landscape,1895,Camille Pissarro,Arthur Streeton
20462.jpg,Realism,portrait,1898,Camille Corot,John Singer Sargent
84103.jpg,Art Nouveau (Modern),design,1928,Theophile Steinlen,Konstantin Korovin
101367.jpg,Orientalism,interior,,Boris Kustodiev,Eugene Delacroix
59013.jpg,Impressionism,landscape,1894,Camille Pissarro,Arthur Streeton
49779.jpg,Post-Impressionism,flower painting,1907.0,Pyotr Konchalovsky,Stefan Luchian
17802.jpg,Realism,sketch and study,1899,Vincent van Gogh,Vasily Surikov
87897.jpg,Realism,sketch and study,1900.0,Boris Kustodiev,Boris Kustodiev
10453.jpg,Realism,landscape,c.1892,Eugene Boudin,Isaac Levitan
90380.jpg,Realism,portrait,1902.0,Boris Kustodiev,Boris Kustodiev
74656.jpg,Expressionism,nude painting (nu),1914,Vincent van Gogh,Egon Schiele
76686.jpg,Romanticism,portrait,1834.0,Pierre-Auguste Renoir,Thomas Sully
33296.jpg,Rococo,portrait,1785.0,Pierre-Auguste Renoir,George Romney
96376.jpg,Luminism,landscape,c.1869,Camille Corot,Albert Bierstadt
92569.jpg,American Realism,portrait,,Edgar Degas,Robert Henri
55841.jpg,Romanticism,marina,1892,Eugene Boudin,Ivan Aivazovsky
72943.jpg,Post-Impressionism,nude painting (nu),1917,Camille Corot,Moise Kisling
81643.jpg,Impressionism,genre painting,1893,Eugene Boudin,Arthur Streeton
61672.jpg,Surrealism,figurative,,Theophile Steinlen,Jules Perahim
77578.jpg,Tachisme,abstract,1960.0,Pyotr Konchalovsky,Andre Lanskoy
28017.jpg,Impressionism,landscape,1904.0,Camille Pissarro,Carlo Carra
7659.jpg,Expressionism,portrait,1915,Camille Pissarro,Amedeo Modigliani
66310.jpg,Expressionism,portrait,1913,Pyotr Konchalovsky,Amedeo Modigliani
12730.jpg,Baroque,religious painting,1621,Pierre-Auguste Renoir,Peter Paul Rubens
75159.jpg,Impressionism,portrait,,Vincent van Gogh,Victor Brauner
56328.jpg,Realism,portrait,1878,Pierre-Auguste Renoir,James Tissot
82888.jpg,Romanticism,sketch and study,1877,Edgar Degas,Edward Burne-Jones
103049.jpg,Realism,portrait,1901.0,Theophile Steinlen,Boris Kustodiev
70820.jpg,Realism,portrait,1888,Vincent van Gogh,Vasily Vereshchagin
97257.jpg,Realism,design,1903,Boris Kustodiev,Vasily Polenov
80310.jpg,Realism,landscape,,Eugene Boudin,Gustave Courbet
38876.jpg,Expressionism,portrait,c.1919,Pyotr Konchalovsky,Chaim Soutine
