Filename,Date,Genre,Style,Predictions,Real Values
7795.jpg,1884,portrait,Impressionism,Pablo Picasso,Berthe Morisot
29279.jpg,1940.0,figurative,Surrealism,Theophile Steinlen,Wols
73754.jpg,1876,portrait,Realism,Rembrandt,Ivan Kramskoy
9560.jpg,,illustration,Realism,Pablo Picasso,Theophile Steinlen
74001.jpg,1885.0,portrait,Symbolism,Camille Corot,Gabriel von Max
53706.jpg,,allegorical painting,Proto Renaissance,Albrecht Durer,Giotto
77243.jpg,,portrait,Realism,Rembrandt,Ivan Kramskoy
82846.jpg,1805.0,landscape,Romanticism,Camille Corot,John Crome
19297.jpg,,flower painting,Expressionism,Vincent van Gogh,John Bratby
73637.jpg,1889,landscape,Impressionism,Eugene Boudin,Eugene Boudin
5384.jpg,1666,genre painting,Baroque,Rembrandt,Adriaen van de Velde
44946.jpg,1886.0,religious painting,Realism,Rembrandt,Ilya Repin
27456.jpg,,animal painting,Realism,Camille Corot,Constant Troyon
65326.jpg,1775,veduta,Baroque,Camille Corot,Francesco Guardi
25061.jpg,1931,landscape,New Realism,Camille Corot,Edward Hopper
14719.jpg,,genre painting,Romanticism,Ivan Aivazovsky,William Shayer
1652.jpg,1910.0,portrait,Realism,Zdislav Beksinski,Ilya Repin
9302.jpg,,genre painting,Realism,Zdislav Beksinski,Ilya Repin
88314.jpg,,sketch and study,Impressionism,Zdislav Beksinski,Joaquín Sorolla
18094.jpg,1811.0,cityscape,Romanticism,Eugene Boudin,David Cox
31817.jpg,1935,flower painting,Realism,Pablo Picasso,Pyotr Konchalovsky
47984.jpg,,abstract,Abstract Expressionism,Henri Matisse,Sam Francis
28026.jpg,1916,landscape,Impressionism,Boris Kustodiev,Childe Hassam
42630.jpg,c.1886,landscape,Impressionism,Camille Pissarro,Alfred Sisley
83700.jpg,1890,genre painting,Impressionism,Camille Corot,Mary Cassatt
59777.jpg,1682.0,religious painting,Baroque,Rembrandt,Luca Giordano
91448.jpg,1878.0,landscape,Luminism,Theophile Steinlen,Frederic Edwin Church
40486.jpg,1864,sketch and study,Realism,Rembrandt,Vasily Perov
19092.jpg,,marina,Divisionism,Camille Pissarro,Henri Martin
39785.jpg,,portrait,Expressionism,Zdislav Beksinski,George Bouzianis
45916.jpg,1893,portrait,Synthetism,Pablo Picasso,Paul Serusier
11200.jpg,1872,wildlife painting,Luminism,Ivan Aivazovsky,Albert Bierstadt
35050.jpg,,portrait,Academicism,Albrecht Durer,Eugene de Blaas
66571.jpg,1928,self-portrait,Symbolism,Albrecht Durer,Konstantin Somov
36990.jpg,,landscape,Realism,Camille Corot,Ivan Shishkin
36076.jpg,1909,sketch and study,Symbolism,Pablo Picasso,Kuzma Petrov-Vodkin
92975.jpg,1899,landscape,Realism,Boris Kustodiev,Isaac Levitan
54663.jpg,c.1732,veduta,Baroque,Rembrandt,Canaletto
59615.jpg,1887,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
35325.jpg,,portrait,Art Nouveau (Modern),Theophile Steinlen,Raphael Kirchner
90432.jpg,,portrait,American Realism,Pierre-Auguste Renoir,Robert Henri
66670.jpg,1880,marina,Impressionism,Claude Monet,James McNeill Whistler
53072.jpg,,calligraphy,Ottoman Period,Pablo Picasso,Bakara Sûresi'nin ilk 4 âyeti
33862.jpg,1934.0,still life,Cubism,Pablo Picasso,Vajda Lajos
53185.jpg,c.1909,design,Art Nouveau (Modern),Pablo Picasso,Odilon Redon
62941.jpg,,sketch and study,Realism,Gustave Dore,Theodor Severin Kittelsen
101070.jpg,1892,landscape,Realism,Camille Pissarro,Isaac Levitan
14916.jpg,,landscape,Realism,Camille Corot,Aleksey Savrasov
99671.jpg,c.1460,religious painting,Early Renaissance,Theophile Steinlen,Filippo Lippi
98440.jpg,,portrait,Realism,Pierre-Auguste Renoir,Ilya Repin
42887.jpg,,cityscape,Romanticism,Vincent van Gogh,John Atkinson Grimshaw
59062.jpg,1832,portrait,Romanticism,Albrecht Durer,Karl Bodmer
85399.jpg,1902,cityscape,Impressionism,Eugene Boudin,Konstantin Korovin
7662.jpg,1923.0,portrait,Realism,Pablo Picasso,Boris Kustodiev
84281.jpg,,still life,Realism,Rembrandt,Henri Fantin-Latour
58516.jpg,1879.0,interior,Romanticism,Albrecht Durer,John Ruskin
78247.jpg,,landscape,Realism,Childe Hassam,Gustave Courbet
85735.jpg,1665.0,religious painting,Baroque,Edgar Degas,Luca Giordano
76356.jpg,1948,abstract,Abstract Art,Pablo Picasso,Perle Fine
79732.jpg,1883,landscape,Impressionism,Eugene Boudin,Alfred Sisley
20298.jpg,1767.0,portrait,Rococo,John Singer Sargent,George Romney
48005.jpg,,landscape,Realism,Camille Corot,Jose Maria Velasco
31159.jpg,1897,landscape,Realism,Zdislav Beksinski,Isaac Levitan
26118.jpg,1898,landscape,Realism,Pyotr Konchalovsky,Isaac Levitan
80197.jpg,,genre painting,Art Nouveau (Modern),Boris Kustodiev,Boris Kustodiev
16794.jpg,1884.0,sketch and study,Realism,Albrecht Durer,Ivan Shishkin
64499.jpg,1912,genre painting,Academicism,John Singer Sargent,Eugene de Blaas
99048.jpg,1913,portrait,Expressionism,Pablo Picasso,Egon Schiele
73140.jpg,1639,self-portrait,Baroque,Rembrandt,Peter Paul Rubens
10867.jpg,1839.0,portrait,Rococo,John Singer Sargent,John Jackson
84282.jpg,1935.0,cityscape,Impressionism,Camille Pissarro,Laura Knight
94600.jpg,1892.0,genre painting,Impressionism,Pyotr Konchalovsky,James Charles
30930.jpg,1820.0,landscape,Romanticism,Camille Corot,John Crome
93510.jpg,1896,cityscape,Impressionism,Claude Monet,Henry Ossawa Tanner
23894.jpg,1928.0,genre painting,Naïve Art (Primitivism),Boris Kustodiev,Arman Manookian
27827.jpg,,landscape,Realism,Camille Corot,Jose Maria Velasco
79348.jpg,1860.0,cloudscape,Luminism,Ivan Aivazovsky,Frederic Edwin Church
39924.jpg,c.1880,self-portrait,Impressionism,John Singer Sargent,Mary Cassatt
27628.jpg,1868,portrait,Realism,Albrecht Durer,Vasily Vereshchagin
21671.jpg,1770,veduta,Baroque,Eugene Boudin,Francesco Guardi
79020.jpg,1760,veduta,Baroque,Ivan Aivazovsky,Francesco Guardi
8360.jpg,1926.0,poster,Socialist Realism,Boris Kustodiev,Boris Kustodiev
91357.jpg,1918.0,cityscape,Art Nouveau (Modern),Boris Kustodiev,Boris Kustodiev
44831.jpg,c.1610,religious painting,Mannerism (Late Renaissance),Albrecht Durer,El Greco
24685.jpg,1881.0,genre painting,Romanticism,Rembrandt,Thomas Hill
92401.jpg,1927.0,cityscape,Baroque,Boris Kustodiev,Christopher Wood
35403.jpg,,portrait,Impressionism,Pyotr Konchalovsky,Henri Martin
2428.jpg,,illustration,Romanticism,Gustave Dore,Howard Pyle
65955.jpg,,cityscape,American Realism,Childe Hassam,Robert Henri
34847.jpg,1913.0,portrait,American Realism,John Singer Sargent,Robert Henri
17029.jpg,,illustration,Romanticism,Gustave Dore,Howard Pyle
14907.jpg,1912,nude painting (nu),Art Nouveau (Modern),Albrecht Durer,Zinaida Serebriakova
40749.jpg,1968.0,abstract,Abstract Expressionism,Henri Matisse,Alice Baber
63618.jpg,1923,cityscape,Post-Impressionism,Childe Hassam,Gustave Loiseau
93137.jpg,,landscape,Romanticism,Claude Monet,Pavel Svinyin
96262.jpg,1905.0,design,Art Nouveau (Modern),Pablo Picasso,Louis Comfort Tiffany
25087.jpg,1518,sketch and study,High Renaissance,Rembrandt,Raphael
30885.jpg,1938.0,nude painting (nu),Orientalism,Theophile Steinlen,Nicolae Tonitza
56942.jpg,1828.0,landscape,Romanticism,Vincent van Gogh,Samuel Palmer
13798.jpg,c.1639,portrait,Baroque,Albrecht Durer,Peter Paul Rubens
88030.jpg,,sketch and study,Realism,Rembrandt,Ivan Shishkin
92985.jpg,c.1870,landscape,Realism,Camille Corot,Aleksey Savrasov
54098.jpg,1911.0,flower painting,Impressionism,Rembrandt,Ipolit Strambu
95026.jpg,,sketch and study,Impressionism,Ivan Aivazovsky,Arkhip Kuindzhi
22480.jpg,,marina,Magic Realism,Henri Matisse,Eric Ravilious
61090.jpg,1662.0,religious painting,Baroque,Rembrandt,Luca Giordano
66015.jpg,c.1495,sketch and study,High Renaissance,Albrecht Durer,Leonardo da Vinci
58718.jpg,1917,landscape,Post-Impressionism,Claude Monet,Gustave Loiseau
74153.jpg,1922,cityscape,Cubism,Pablo Picasso,Paul Klee
83229.jpg,1580,portrait,Mannerism (Late Renaissance),Albrecht Durer,Paolo Veronese
69303.jpg,1792.0,genre painting,Rococo,Ivan Aivazovsky,George Morland
60335.jpg,1502,religious painting,High Renaissance,Albrecht Durer,The Damned Consigned to Hell)
28020.jpg,,design,Northern Renaissance,Albrecht Durer,Hans Holbein the Younger
81244.jpg,c.1430,religious painting,Northern Renaissance,Albrecht Durer,Robert Campin
75618.jpg,1651,portrait,Baroque,Rembrandt,Rembrandt
61094.jpg,c.1913,portrait,Post-Impressionism,Pyotr Konchalovsky,Maurice Prendergast
38579.jpg,1891,genre painting,Impressionism,Camille Pissarro,Berthe Morisot
42040.jpg,,religious painting,Art Nouveau (Modern),Pyotr Konchalovsky,Jacek Malczewski
80241.jpg,,marina,Romanticism,Ivan Aivazovsky,John Atkinson Grimshaw
11419.jpg,1892,sketch and study,Realism,Rembrandt,Vasily Surikov
40644.jpg,1892.0,allegorical painting,Academicism,Zdislav Beksinski,Jose Ferraz de Almeida Junior
57080.jpg,1880,mythological painting,Symbolism,Ivan Aivazovsky,Gustave Moreau
9925.jpg,,abstract,Abstract Expressionism,Pablo Picasso,Bui Xuan Phai
29875.jpg,,portrait,Art Nouveau (Modern),Theophile Steinlen,Raphael Kirchner
95216.jpg,1921,still life,Synthetic Cubism,Pablo Picasso,Juan Gris
95752.jpg,1860.0,portrait,Romanticism,Camille Corot,Thomas Jones Barker
4534.jpg,,tessellation,Op Art,Pablo Picasso,M.C. Escher
53030.jpg,1910,landscape,Impressionism,Ivan Aivazovsky,Salvador Dali
46535.jpg,1935,landscape,Magic Realism,Pablo Picasso,Eric Ravilious
73013.jpg,1916,portrait,Expressionism,Pablo Picasso,Egon Schiele
11621.jpg,1871,portrait,Realism,John Singer Sargent,James Tissot
17967.jpg,1853.0,sketch and study,Romanticism,Rembrandt,Frederic Edwin Church
100041.jpg,1877,marina,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
61895.jpg,1921,abstract,Abstract Art,Pablo Picasso,Paul Klee
66378.jpg,,portrait,Realism,Albrecht Durer,John Everett Millais
54485.jpg,,landscape,Romanticism,Vincent van Gogh,John Atkinson Grimshaw
9843.jpg,1770,cityscape,Baroque,Rembrandt,Francesco Guardi
6846.jpg,1911,portrait,Expressionism,Pablo Picasso,Egon Schiele
77484.jpg,c.1910,nude painting (nu),Impressionism,Pierre-Auguste Renoir,William James Glackens
38866.jpg,1921,sketch and study,Cubism,Pablo Picasso,Roger de La Fresnaye
94986.jpg,,landscape,Naïve Art (Primitivism),Camille Corot,John Bradley
84279.jpg,1908,cityscape,Expressionism,Boris Kustodiev, Wassily Kandinsky
54515.jpg,1909,landscape,Impressionism,Childe Hassam,William James Glackens
51327.jpg,,genre painting,Expressionism,Gustave Dore,Candido Portinari
1439.jpg,,genre painting,Romanticism,Theophile Steinlen,Sir Lawrence Alma-Tadema
7329.jpg,1908,nude painting (nu),Expressionism,Albrecht Durer,Egon Schiele
86450.jpg,,portrait,Romanticism,Camille Corot,Polychronis Lembesis
17160.jpg,,abstract,Surrealism,Vincent van Gogh,Max Ernst
17432.jpg,1860.0,landscape,Romanticism,Ivan Aivazovsky,Frederic Edwin Church
42175.jpg,1911,wildlife painting,Expressionism,Henri Matisse,Franz Marc
91565.jpg,1978.0,landscape,Expressionism,Boris Kustodiev,Endre Bartos
65729.jpg,1886.0,landscape,Realism,Gustave Dore,Ivan Shishkin
86704.jpg,1897,landscape,Realism,Claude Monet,Isaac Levitan
59032.jpg,c.1898,landscape,Realism,Camille Corot,Isaac Levitan
34369.jpg,,self-portrait,Art Nouveau (Modern),Albrecht Durer,Leon Bakst
38491.jpg,1841.0,landscape,Romanticism,Pierre-Auguste Renoir,William Collins
87881.jpg,,illustration,Romanticism,Gustave Dore,Howard Pyle
71677.jpg,1946.0,genre painting,Cubism,Pablo Picasso,Romare Bearden
26544.jpg,1916,cityscape,Impressionism,Boris Kustodiev,William James Glackens
85144.jpg,c.1892,genre painting,Impressionism,Childe Hassam,William Merritt Chase
18882.jpg,,portrait,Art Nouveau (Modern),Theophile Steinlen,Raphael Kirchner
25734.jpg,1537,portrait,Northern Renaissance,Albrecht Durer,Lucas Cranach the Elder
5864.jpg,,landscape,Realism,Camille Pissarro,Johan Hendrik Weissenbruch
87841.jpg,,genre painting,Impressionism,Edgar Degas,Honore Daumier
39518.jpg,1888,landscape,Tonalism,Vincent van Gogh,James McNeill Whistler
86731.jpg,1925.0,sketch and study,Post-Impressionism,Henri Matisse,Christopher Wood
34818.jpg,,still life,Cubism,Pablo Picasso,Albert Gleizes
19316.jpg,1870.0,landscape,Impressionism,Eugene Boudin,Jules Dupre
8127.jpg,1846.0,landscape,Romanticism,Claude Monet,David Cox
18569.jpg,c.1895,landscape,Impressionism,Zdislav Beksinski,Arkhip Kuindzhi
34822.jpg,c.1884,portrait,Realism,John Singer Sargent,Vasily Surikov
60388.jpg,1929.0,genre painting,Magic Realism,Edgar Degas,Cagnaccio di San Pietro
97833.jpg,c.1885,landscape,Realism,Camille Corot,Isaac Levitan
24773.jpg,1898,landscape,Realism,Camille Corot,Konstantin Bogaevsky
35463.jpg,1893,cityscape,Romanticism,Vincent van Gogh,John Atkinson Grimshaw
26297.jpg,c.1782,veduta,Baroque,Eugene Boudin,Francesco Guardi
62712.jpg,,landscape,Romanticism,Camille Corot,Thomas Hill
78230.jpg,1889,portrait,Realism,John Singer Sargent,Vladimir Makovsky
89849.jpg,c.1885,portrait,Realism,Rembrandt,James McNeill Whistler
41766.jpg,1790,portrait,Rococo,Edgar Degas,Ralph Earl
11860.jpg,,cityscape,Post-Impressionism,Camille Corot,Maurice Utrillo
49379.jpg,1884,genre painting,Romanticism,John Singer Sargent,Sir Lawrence Alma-Tadema
95238.jpg,1816,capriccio,Romanticism,Rembrandt,Francisco Goya
100818.jpg,1848,interior,Realism,Zdislav Beksinski,Adolph Menzel
81440.jpg,,landscape,Romanticism,Camille Corot,David Johnson
44454.jpg,1913,portrait,Expressionism,Pablo Picasso,Egon Schiele
97710.jpg,1868,portrait,Realism,Boris Kustodiev,Vasily Vereshchagin
51967.jpg,1888,genre painting,Realism,Eugene Boudin,Vladimir Makovsky
8561.jpg,1907.0,portrait,Realism,Boris Kustodiev,Ilya Repin
36634.jpg,1760,capriccio,Baroque,Camille Corot,Francesco Guardi
88540.jpg,,marina,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
14986.jpg,1881.0,landscape,Realism,Camille Corot,Viktor Vasnetsov
85997.jpg,1844,landscape,Romanticism,Ivan Aivazovsky,Thomas Cole
68429.jpg,1874,cityscape,Realism,Vincent van Gogh,Vasily Vereshchagin
93637.jpg,1862,portrait,Realism,Rembrandt,Gustave Courbet
64250.jpg,1860,landscape,Realism,Camille Corot,Camille Corot
76973.jpg,1894,genre painting,Impressionism,John Singer Sargent,Berthe Morisot
81515.jpg,1891,genre painting,Art Nouveau (Modern),Edgar Degas,Henri de Toulouse-Lautrec
33275.jpg,1929,symbolic painting,Surrealism,Albrecht Durer,Salvador Dali
63388.jpg,1909,landscape,Post-Impressionism,Vincent van Gogh,Edouard Vuillard
69059.jpg,1900.0,genre painting,Art Nouveau (Modern),Pablo Picasso,Raphael Kirchner
43772.jpg,1943.0,genre painting,Naïve Art (Primitivism),Zdislav Beksinski,Ivan Generalic
85866.jpg,1938,nude painting (nu),Expressionism,Henri Matisse,Paul Klee
38720.jpg,1917,portrait,Expressionism,Henri Matisse,Amedeo Modigliani
33743.jpg,1875,landscape,Realism,Ivan Aivazovsky,Arkhip Kuindzhi
94908.jpg,,literary painting,Romanticism,Albrecht Durer,Arthur Hughes
100983.jpg,1886.0,landscape,Realism,Gustave Dore,Ivan Shishkin
35596.jpg,1886,landscape,Realism,Rembrandt,Isaac Levitan
91035.jpg,1926.0,interior,Realism,Boris Kustodiev,Boris Kustodiev
70545.jpg,1879.0,landscape,Realism,Gustave Dore,Ivan Shishkin
25593.jpg,1873,religious painting,Realism,Rembrandt,Vasily Surikov
61382.jpg,c.1895,portrait,Realism,John Singer Sargent,Arkhip Kuindzhi
79011.jpg,,portrait,Romanticism,John Singer Sargent,Konstantin Makovsky
457.jpg,1900.0,design,Art Nouveau (Modern),Theophile Steinlen,Raphael Kirchner
21023.jpg,1937.0,portrait,Expressionism,Albrecht Durer,Wyndham Lewis
46062.jpg,,portrait,Academicism,John Singer Sargent,Eugene de Blaas
48431.jpg,,religious painting,Art Nouveau (Modern),Rembrandt,Wilhelm Kotarbinski
15486.jpg,1658,animal painting,Baroque,Camille Corot,Adriaen van de Velde
26003.jpg,c.1485,portrait,Northern Renaissance,Rembrandt,Hans Memling
24105.jpg,c.1478,sketch and study,Early Renaissance,Edgar Degas,Leonardo da Vinci
32891.jpg,c.1424,religious painting,Northern Renaissance,Albrecht Durer,Robert Campin
18597.jpg,1880.0,landscape,Realism,Camille Corot,Viktor Vasnetsov
80381.jpg,,genre painting,Realism,Boris Kustodiev,Konstantin Makovsky
78962.jpg,1876.0,landscape,Realism,Gustave Dore,Ivan Shishkin
72106.jpg,1901,landscape,Symbolism,Pyotr Konchalovsky,Mikhail Vrubel
7067.jpg,c.1900,portrait,Post-Impressionism,Pablo Picasso,Kuzma Petrov-Vodkin
11677.jpg,1885.0,landscape,Realism,Camille Pissarro,Ivan Shishkin
45607.jpg,1880,marina,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
53749.jpg,1870,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
37513.jpg,1903,cityscape,Realism,Zdislav Beksinski,Vasily Polenov
66823.jpg,1909,design,Art Nouveau (Modern),Vincent van Gogh,Konstantin Korovin
31893.jpg,,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
39971.jpg,1913,landscape,Impressionism,Claude Monet,Henry Ossawa Tanner
22992.jpg,1792,genre painting,Romanticism,Camille Corot,Francisco Goya
1648.jpg,1632,portrait,Baroque,Boris Kustodiev,Diego Velazquez
101222.jpg,1904.0,genre painting,Art Nouveau (Modern),Theophile Steinlen,Raphael Kirchner
40846.jpg,1915,genre painting,Intimism,Edgar Degas,Edouard Vuillard
9862.jpg,c.1850,genre painting,Impressionism,Pablo Picasso,Honore Daumier
34179.jpg,1918.0,still life,Metaphysical art,Zdislav Beksinski,Giorgio Morandi
74409.jpg,1887,genre painting,Post-Impressionism,Camille Pissarro,Paul Gauguin
79585.jpg,1873,landscape,Realism,Eugene Boudin,Winslow Homer
50399.jpg,1907,landscape,Fauvism,Vincent van Gogh,Henri Matisse
31382.jpg,1854.0,landscape,Realism,Camille Pissarro,Jules Breton
35620.jpg,c.1606,religious painting,Baroque,Rembrandt,Caravaggio
46618.jpg,1936.0,landscape,Expressionism,Childe Hassam,Nicolae Tonitza
21406.jpg,1868,religious painting,Romanticism,Albrecht Durer,Ford Madox Brown
51385.jpg,1888,portrait,Realism,John Singer Sargent,Isaac Levitan
85060.jpg,1957,abstract,Abstract Expressionism,Edgar Degas,Helen Frankenthaler
22001.jpg,1915.0,religious painting,Realism,Boris Kustodiev,Ilya Repin
72831.jpg,1890.0,sketch and study,Realism,Pablo Picasso,Ivan Shishkin
83373.jpg,1770,veduta,Baroque,Vincent van Gogh,Francesco Guardi
59192.jpg,1898.0,landscape,Realism,Camille Pissarro,Ivan Shishkin
27941.jpg,1720,mythological painting,Baroque,Rembrandt,Francesco Solimena
15852.jpg,1870,landscape,Realism,Ivan Aivazovsky,Aleksey Savrasov
98017.jpg,1786.0,literary painting,Romanticism,Camille Corot,Henry Fuseli
51904.jpg,1885,landscape,Impressionism,Eugene Boudin,Alfred Sisley
27332.jpg,,portrait,Academicism,John Singer Sargent,Eugene de Blaas
69004.jpg,1941.0,landscape,Precisionism,Albrecht Durer,Georgia O'Keeffe
98246.jpg,c.1868,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
21844.jpg,,portrait,Romanticism,Albrecht Durer,Jan Matejko
4383.jpg,1974.0,abstract,Concretism,John Singer Sargent,Henryk Stazewski
5069.jpg,1911,abstract,Expressionism,Pyotr Konchalovsky, Wassily Kandinsky
59814.jpg,1934,abstract,Surrealism,Pablo Picasso,Edward Wadsworth
46664.jpg,,landscape,Romanticism,Ivan Aivazovsky,William Collins
88694.jpg,1911,still life,Post-Impressionism,Pyotr Konchalovsky,Pyotr Konchalovsky
59335.jpg,,landscape,Impressionism,Claude Monet,Arkhip Kuindzhi
60372.jpg,1914,cityscape,Post-Impressionism,Pyotr Konchalovsky,Ilya Mashkov
15233.jpg,1862,landscape,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
48841.jpg,1859,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
87771.jpg,1878,portrait,Realism,Camille Corot,Ivan Kramskoy
57150.jpg,1658,self-portrait,Baroque,Rembrandt,Rembrandt
16435.jpg,1914,portrait,Futurism,Pablo Picasso,Umberto Boccioni
69938.jpg,1955,genre painting,Expressionism,Edgar Degas,Balthus
15275.jpg,1629,religious painting,Baroque,Albrecht Durer,Francisco de Zurbaran
60213.jpg,c.1885,landscape,Impressionism,Vincent van Gogh,Mouth of the Thames
61856.jpg,1786,history painting,Neoclassicism,Ivan Aivazovsky,John Trumbull
19564.jpg,1910.0,landscape,Naturalism,Ivan Aivazovsky,Alfred Parsons
6426.jpg,1881.0,landscape,Realism,Boris Kustodiev,Ivan Shishkin
69902.jpg,1893,sketch and study,Realism,Boris Kustodiev,Vasily Surikov
41071.jpg,1895,genre painting,Post-Impressionism,Pablo Picasso,Felix Vallotton 
56130.jpg,,genre painting,Realism,Rembrandt,Honore Daumier
24964.jpg,1906,landscape,Impressionism,Claude Monet,Frantisek Kupka
26290.jpg,,portrait,Romanticism,Theophile Steinlen,William Holman Hunt
19123.jpg,,landscape,Post-Impressionism,Camille Pissarro,Istvan Nagy
92813.jpg,1904.0,portrait,Realism,John Singer Sargent,Boris Kustodiev
74584.jpg,1914,abstract,Cubism,Pablo Picasso,Natalia Goncharova
60808.jpg,1875.0,genre painting,Romanticism,Ivan Aivazovsky,Thomas Hill
68656.jpg,1878,marina,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
78354.jpg,c.1900,sketch and study,Art Nouveau (Modern),Boris Kustodiev,Zinaida Serebriakova
6428.jpg,1898.0,sketch and study,Realism,Rembrandt,Valentin Serov
15294.jpg,,portrait,Romanticism,John Singer Sargent,Konstantin Makovsky
29099.jpg,1889.0,landscape,Realism,Zdislav Beksinski,Ivan Shishkin
39427.jpg,1747,veduta,Baroque,Camille Corot,Giovanni Paolo Panini
66340.jpg,c.1865,genre painting,Realism,Camille Pissarro,Camille Corot
63349.jpg,,genre painting,Art Nouveau (Modern),Albrecht Durer,Sergey Solomko
29310.jpg,,abstract,Abstract Expressionism,Pablo Picasso,Bui Xuan Phai
65723.jpg,1889,religious painting,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
97771.jpg,1917.0,portrait,Expressionism,Boris Kustodiev,Gabriele Munter
6223.jpg,,animal painting,Romanticism,Edgar Degas,James Ward 
93656.jpg,c.1905,landscape,Post-Impressionism,Vincent van Gogh,Raoul Dufy
39956.jpg,1975,abstract,Minimalism,Ivan Aivazovsky,Agnes Martin
74613.jpg,1763,veduta,Baroque,Ivan Aivazovsky,Francesco Guardi
72295.jpg,1900.0,portrait,Verism,Zdislav Beksinski,Antonio Mancini
83496.jpg,c.1895,landscape,Impressionism,Pablo Picasso,Arkhip Kuindzhi
10441.jpg,c.1900,symbolic painting,Symbolism,Henri Matisse,Frantisek Kupka
166.jpg,1872,sketch and study,Realism,Camille Pissarro,Arkhip Kuindzhi
4984.jpg,1878,marina,Luminism,Ivan Aivazovsky,Albert Bierstadt
32193.jpg,,portrait,Ink and wash painting,Rembrandt,Hakuin Ekaku
89326.jpg,,bird-and-flower painting,Ink and wash painting,Boris Kustodiev,Bada Shanren
64455.jpg,,cityscape,Post-Impressionism,Vincent van Gogh,Henri Martin
46547.jpg,,landscape,Romanticism,Camille Corot,Thomas Jones
45099.jpg,1820.0,landscape,Romanticism,Ivan Aivazovsky,Thomas Jones Barker
52595.jpg,1923,figurative,Surrealism,Pablo Picasso,Paul Klee
83279.jpg,c.1880,genre painting,Realism,John Singer Sargent,Columbano Bordalo Pinheiro
98448.jpg,1914,landscape,Symbolism,Boris Kustodiev,Zinaida Serebriakova
77879.jpg,c.1880,landscape,Romanticism,Vincent van Gogh,Konstantin Makovsky
55606.jpg,1939.0,genre painting,Naïve Art (Primitivism),Vincent van Gogh,Ivan Generalic
48268.jpg,,cityscape,Sōsaku hanga,Henri Matisse,Toshi Yoshida
86912.jpg,1916.0,landscape,Art Nouveau (Modern),Vincent van Gogh,Tom Thomson
24250.jpg,1892,genre painting,Realism,Rembrandt,Jacek Malczewski
94971.jpg,,veduta,Baroque,Camille Pissarro,Canaletto
28914.jpg,1880,landscape,Impressionism,Eugene Boudin,Eugene Boudin
12889.jpg,,portrait,Neoclassicism,Camille Corot,Joseph Wright
79220.jpg,1910.0,portrait,Art Nouveau (Modern),Pablo Picasso,Alberto Magnelli
81742.jpg,1807,sketch and study,Romanticism,Albrecht Durer,Orest Kiprensky
12026.jpg,1897.0,portrait,Realism,Albrecht Durer,James Charles
29603.jpg,1865,landscape,Luminism,Ivan Aivazovsky,Albert Bierstadt
10359.jpg,1892.0,landscape,Realism,Vincent van Gogh,Ivan Shishkin
102410.jpg,1848,landscape,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
19786.jpg,,genre painting,Impressionism,Boris Kustodiev,Ilya Repin
8912.jpg,1891.0,landscape,Realism,Camille Pissarro,Ivan Shishkin
16650.jpg,c.1760,portrait,Rococo,Albrecht Durer,Thomas Gainsborough
100543.jpg,1921.0,cityscape,Precisionism,Vincent van Gogh,Charles Demuth
7087.jpg,1867.0,landscape,Impressionism,Camille Corot,Giovanni Fattori
103149.jpg,1910,genre painting,Post-Impressionism,Pablo Picasso,Raoul Dufy
99907.jpg,1960.0,portrait,Pop Art,Boris Kustodiev,LeRoy Neiman
101395.jpg,1918.0,abstract,Expressionism,Pablo Picasso,Alberto Magnelli
88710.jpg,1954,still life,Expressionism,Pablo Picasso,Georges Braque
100255.jpg,1911.0,portrait,Post-Impressionism,Albrecht Durer,Augustus John
74575.jpg,,genre painting,Ukiyo-e,Pablo Picasso,Kitagawa Utamaro
31932.jpg,1910,nude painting (nu),Fauvism,Henri Matisse,Max Weber
79399.jpg,1858,landscape,Ukiyo-e,Vincent van Gogh,Hiroshige
2546.jpg,1770,history painting,Baroque,Vincent van Gogh,Francesco Guardi
62406.jpg,1871.0,landscape,Realism,Camille Pissarro,Ivan Shishkin
87.jpg,1870,landscape,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
49576.jpg,1886,genre painting,Romanticism,Ivan Aivazovsky,Ivan Aivazovsky
56631.jpg,1928,nude painting (nu),Expressionism,Edgar Degas,Zinaida Serebriakova
57921.jpg,1642,portrait,Baroque,Rembrandt,Rembrandt
69811.jpg,1926,abstract,Orphism,Henri Matisse,Frantisek Kupka
54968.jpg,1973,genre painting,Expressionism,Pablo Picasso,Lucian Freud
84045.jpg,,marina,Post-Impressionism,Pyotr Konchalovsky,Alekos Kontopoulos 
38314.jpg,,sketch and study,Romanticism,Albrecht Durer,Orest Kiprensky
37378.jpg,,portrait,Baroque,Rembrandt,Gabriel Metsu
